SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,SAMPLE_TESTING_LOCATION,ANALYSIS,ANALYSIS_DESCRIPTION,ANALYTE,ANALYTE_REPORTED_NAME,FORMATTED_ENTRY,UNITS
233241,2/4/2013 10:09,FA-LFR-01,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,3.18,ng/L
233241,2/4/2013 10:09,FA-LFR-01,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233240,2/4/2013 10:27,WS-LP-021,,Conduit #20 at Marston Forebay Influent,Marston Forebay,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2.14,ng/L
233240,2/4/2013 10:27,WS-LP-021,,Conduit #20 at Marston Forebay Influent,Marston Forebay,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233382,2/12/2013 9:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,6.1,ng/L
233382,2/12/2013 9:15,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233383,2/12/2013 9:17,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,7.5,ng/L
233383,2/12/2013 9:17,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233627,2/20/2013 10:07,TM-104,,Pump suction inlet to Conduit 20 at Chatfield Reservoir,Chatfield State Park,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
233627,2/20/2013 10:07,TM-104,,Pump suction inlet to Conduit 20 at Chatfield Reservoir,Chatfield State Park,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233626,2/20/2013 11:28,WS-LP-021,,Conduit #20 at Marston Forebay Influent,Marston Forebay,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
233626,2/20/2013 11:28,WS-LP-021,,Conduit #20 at Marston Forebay Influent,Marston Forebay,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233624,2/20/2013 11:46,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.29,ng/L
233624,2/20/2013 11:46,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233625,2/20/2013 11:47,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.59,ng/L
233625,2/20/2013 11:47,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233813,2/26/2013 9:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,3.6,ng/L
233813,2/26/2013 9:45,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
233814,2/26/2013 9:55,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.02,ng/L
233814,2/26/2013 9:55,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
234984,3/5/2013 9:50,WS-LP-018-A,Conduit #15 Headgate at Harriman Lake,Conduit #15 Marston Headgate at Harriman Diversion Structure,Conduit #15,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2,ng/L
234984,3/5/2013 9:50,WS-LP-018-A,Conduit #15 Headgate at Harriman Lake,Conduit #15 Marston Headgate at Harriman Diversion Structure,Conduit #15,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236648,4/2/2013 14:00,FA-AMH-01,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,17.3,ng/L
236648,4/2/2013 14:00,FA-AMH-01,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236649,4/2/2013 14:01,FA-AMH-02,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,11.49,ng/L
236649,4/2/2013 14:01,FA-AMH-02,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236650,4/2/2013 14:02,FA-AMH-03,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,7.47,ng/L
236650,4/2/2013 14:02,FA-AMH-03,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236651,4/2/2013 14:03,FA-AMH-04,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,19.12,ng/L
236651,4/2/2013 14:03,FA-AMH-04,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236652,4/2/2013 14:04,FA-AMH-05,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,13.69,ng/L
236652,4/2/2013 14:04,FA-AMH-05,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
236653,4/2/2013 14:05,FA-AMH-06,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,49.42,ng/L
236653,4/2/2013 14:05,FA-AMH-06,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239571,5/28/2013 14:00,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2.14,ng/L
239571,5/28/2013 14:00,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239572,5/28/2013 14:00,FA-AMH-01,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,40.86,ng/L
239572,5/28/2013 14:00,FA-AMH-01,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239573,5/28/2013 14:05,FA-AMH-02,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,9.96,ng/L
239573,5/28/2013 14:05,FA-AMH-02,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239575,5/28/2013 14:10,FA-AMH-03,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,6.71,ng/L
239575,5/28/2013 14:10,FA-AMH-03,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239577,5/28/2013 14:15,FA-AMH-04,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,5.54,ng/L
239577,5/28/2013 14:15,FA-AMH-04,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239579,5/28/2013 14:20,FA-AMH-05,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,6.88,ng/L
239579,5/28/2013 14:20,FA-AMH-05,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239581,5/28/2013 14:30,FA-AMH-06,,,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,6.96,ng/L
239581,5/28/2013 14:30,FA-AMH-06,,,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
240993,6/4/2013 10:00,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,4.19,ng/L
240993,6/4/2013 10:00,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
240892,6/4/2013 10:50,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2.74,ng/L
240892,6/4/2013 10:50,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
239623,6/4/2013 11:10,TM-197-1,,Marston near Conduit 15 inlet,,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,2.54,ng/L
239623,6/4/2013 11:10,TM-197-1,,Marston near Conduit 15 inlet,,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
237512,6/11/2013 10:11,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,Geosmin,Geosmin,<2,ng/L
237512,6/11/2013 10:11,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040D,Taste & Odor compounds by SPME,MIB,MIB,<5,ng/L
241568,6/18/2013 11:45,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241568,6/18/2013 11:45,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
237513,6/18/2013 13:35,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
237513,6/18/2013 13:35,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,<1,ng/L
241598,6/19/2013 13:05,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241598,6/19/2013 13:05,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,<1,ng/L
241704,6/24/2013 9:50,TM-201-1,,Chatfield Reservoir,,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241704,6/24/2013 9:50,TM-201-1,,Chatfield Reservoir,,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,1,ng/L
241702,6/24/2013 10:15,RS-CT-01-1,,"Chatfield Reservoir, Main Site South of Tower",,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241702,6/24/2013 10:15,RS-CT-01-1,,"Chatfield Reservoir, Main Site South of Tower",,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
241706,6/24/2013 10:45,TM-202-1,,Chatfield Reservoir,,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241706,6/24/2013 10:45,TM-202-1,,Chatfield Reservoir,,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
241721,6/25/2013 9:10,PL-FTH-INF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241721,6/25/2013 9:10,PL-FTH-INF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
241719,6/25/2013 9:20,PL-FTH-EFF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241719,6/25/2013 9:20,PL-FTH-EFF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,<1,ng/L
241795,6/25/2013 10:08,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,2,ng/L
241795,6/25/2013 10:08,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
241794,6/25/2013 10:10,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,2,ng/L
241794,6/25/2013 10:10,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,3,ng/L
241725,6/25/2013 10:30,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241725,6/25/2013 10:30,PL-MOF-INF,,Moffat Plant raw water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,3,ng/L
241723,6/25/2013 10:35,PL-MOF-EFF,,Moffat SP5 Finished Water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241723,6/25/2013 10:35,PL-MOF-EFF,,Moffat SP5 Finished Water,Moffat WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,3,ng/L
241729,6/25/2013 12:20,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241729,6/25/2013 12:20,PL-MAR-INF,,"Marston raw, 90 inch",Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,<1,ng/L
237514,6/25/2013 12:35,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
237514,6/25/2013 12:35,PL-MAR-EFF,,6100 W Quincy Ave,Marston WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
241749,7/2/2013 9:57,PL-FTH-EFF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",MIB,MIB,<1,ng/L
241749,7/2/2013 9:57,PL-FTH-EFF,,6730 N. Rampart Range Rd.,Foothills WTP,,6040E,"Taste & Odor Compounds by SPME, CI GC/MS/MS",Geosmin,Geosmin,2,ng/L
